Facility Name,City,State,Ownership Type,Facility Size,Certified Beds,Overall Rating,Staffing Rating,Staffing Status,Total Nurse Hours Per Resident Day,RN Hours Per Resident Day,Weekend Nurse Hours Per Resident Day,Total Nursing Turnover Rate,RN Turnover Rate
BIRCH HILL HEALTH SERVICES,SHAWANO,WI,For-Profit,Medium,50,2,3,Understaffed,3.39,0.52,3.14,32.5,28.6
COVENTRY MEADOWS,FORT WAYNE,IN,For-Profit,Large,150,5,2,Understaffed,3.34,0.49,2.81,36.2,28.6
CATALINA POST ACUTE AND REHABILITATION,TUCSON,AZ,For-Profit,Medium,102,4,3,Adequate,4.13,0.82,3.43,36,28.6
Tarboro Health and Rehabilitation,Tarboro,NC,For-Profit,Medium,118,4,2,Adequate,3.83,0.35,3.33,45.8,61.5
RENNES HEALTH AND REHAB CENTER-DEPERE,DE PERE,WI,For-Profit,Medium,137,5,5,Adequate,4.61,1.19,4.15,47.1,31.3
OWYHEE HEALTH & REHABILITATION CENTER,HOMEDALE,ID,For-Profit,Medium,58,4,4,Adequate,3.85,0.83,3.11,24.6,22.2
LIFE CARE CENTER OF PUNTA GORDA,PUNTA GORDA,FL,For-Profit,Large,180,3,4,Adequate,4.08,0.6,3.72,39.6,34.6
MERIDIAN VILLAGE CARE CENTER,GLEN CARBON,IL,Non-Profit,Medium,70,5,5,Adequate,4.79,0.99,4.61,20.5,21.4
LIONS GATE,VOORHEES,NJ,Non-Profit,Medium,110,4,5,Adequate,5.68,0.93,5.34,35.7,15
Rehabilitation Center of Belmond,Belmond,IA,For-Profit,Small,44,4,3,Adequate,3.55,0.38,3.15,40.5,57.1
EMBASSY OF EUCLID,EUCLID,OH,For-Profit,Medium,75,2,1,Adequate,3.52,0.43,2.89,78.6,75
ADVANCED HEALTH CARE OF SACRAMENTO,NORTH SACRAMENTO,CA,For-Profit,Small,40,4,4,Adequate,6.03,1.79,4.8,38.9,54.2
PRESTIGE GARDENS REHABILITATION AND NURSING CENTER,MARYSVILLE,OH,For-Profit,Medium,98,2,2,Understaffed,3.02,0.54,2.67,26.8,28.6
VAL VERDE NURSING AND REHABILITATION CENTER,DEL RIO,TX,Non-Profit,Medium,76,3,2,Understaffed,2.96,0.32,2.69,25,50
ALTA GARDENS CARE CENTER,GARDEN GROVE,CA,For-Profit,Medium,129,5,3,Adequate,3.85,0.45,3.6,19.4,40
KNOX COUNTY NURSING HOME,KNOXVILLE,IL,Government,Large,169,5,4,Adequate,3.7,0.41,3.49,35.4,30
UNION COUNTY NURSING HOME,BLAIRSVILLE,GA,Non-Profit,Large,150,4,3,Understaffed,3.44,0.57,2.72,42.7,35.7
VALLEY HEALTHCARE CENTER,BAKERSFIELD,CA,For-Profit,Medium,87,1,2,Adequate,3.73,0.29,3.44,32.4,28.6
CARTERSVILLE CENTER FOR NURSING AND HEALING,CARTERSVILLE,GA,For-Profit,Medium,118,2,2,Understaffed,3.42,0.48,2.85,51.1,50
FOCUSED CARE AT HUMBLE,HUMBLE,TX,For-Profit,Medium,134,3,2,Understaffed,3.24,0.37,2.85,44,50
"GROVE OF NORTHBROOK,THE",NORTHBROOK,IL,For-Profit,Medium,134,4,3,Understaffed,2.22,0.8,2.2,15.8,5
REGEIS CARE CENTER,BRONX,NY,For-Profit,Large,236,4,4,Adequate,3.75,0.62,3.11,27.7,19.2
EL JEN SKILLED CARE,LAS VEGAS,NV,For-Profit,Medium,144,1,3,Adequate,3.77,0.5,3.38,46.5,58.6
EAGLE POINTE SKILLED NURSING & REHAB,ORWELL,OH,For-Profit,Medium,60,5,2,Understaffed,3.44,0.68,2.96,54.7,20
Lakes At Litchfield,Pawleys Island,SC,For-Profit,Small,24,5,4,Adequate,5.33,1.34,4.8,56.3,50
"ARMA OPERATOR, LLC",ARMA,KS,For-Profit,Small,45,2,2,Adequate,3.63,0.7,3.37,49.1,45.5
HAVEN OF TUCSON,TUCSON,AZ,For-Profit,Medium,118,2,1,Adequate,4.31,0.86,3.97,61.3,47.1
THE PINNACLE REHABILITATION AND NURSING CENTER,TALLMADGE,OH,For-Profit,Medium,75,5,1,Understaffed,3.27,0.4,2.85,48.4,25
ATRIUM POST ACUTE CARE OF WAYNE,WAYNE,NJ,For-Profit,Large,209,3,3,Adequate,3.79,0.54,3.43,41.1,57.9
JACKSON HEALTH CARE FACILITY,JACKSON,AL,For-Profit,Medium,91,4,5,Adequate,4.01,0.9,3.33,31.2,0
COMMUNITY HEALTH CENTER,WAKITA,OK,Non-Profit,Medium,52,2,1,Adequate,3.85,0.47,3.2,40.5,20
ELGIN NURSING AND REHABILITATION CENTER,ELGIN,TX,Non-Profit,Medium,114,2,2,Understaffed,2.72,0.22,2.46,29.7,37.5
BROAD ACRES HEALTH AND REHABILITATION,WELLSBORO,PA,Non-Profit,Medium,120,4,4,Adequate,3.78,0.6,3.25,43.3,30.8
Parkway Pavilion Health And Rehabilitation Center,ENFIELD,CT,For-Profit,Medium,130,1,3,Understaffed,3.33,0.39,3.11,40.5,61.9
The Pavilion at Canal Fulton for Nursing and Rehab,CANAL FULTON,OH,For-Profit,Medium,60,2,1,Understaffed,3.28,0.47,2.96,56.8,80
BEECHTREE CENTER FOR REHABILITATION AND NURSING,ITHACA,NY,For-Profit,Medium,120,1,1,Understaffed,3.03,0.47,2.37,53.3,50
ORANGE PARK REHABILITATION AND NURSING CENTER,ORANGE PARK,FL,For-Profit,Medium,105,4,3,Adequate,3.62,0.53,3.37,46.2,64.7
CLAIRIDGE HOUSE,KENOSHA,WI,For-Profit,Medium,87,2,4,Understaffed,3.19,0.59,2.77,46.5,40
HOMEWOOD LIVING WILLIAMSPORT,WILLIAMSPORT,MD,Non-Profit,Medium,82,2,4,Adequate,4.15,0.85,3.76,50.6,20
WESTERN HILLS HEALTHCARE RESIDENCE,COMANCHE,TX,For-Profit,Large,158,2,2,Understaffed,2.96,0.33,2.57,52.9,62.5
APPLE VALLEY VILLAGE HEALTH CARE CENTER,APPLE VALLEY,MN,Non-Profit,Large,162,5,5,Adequate,4.69,1.31,4.13,31.3,23.2
COMPLETE CARE AT BARN HILL,NEWTON,NJ,For-Profit,Large,154,5,2,Adequate,3.53,0.61,2.84,43.8,50
Ussery Roan Texas State Veterans Home,Amarillo,TX,For-Profit,Medium,120,3,3,Adequate,3.88,0.53,3.23,75.9,85.7
AUTUMN LAKE HEALTHCARE AT BELOIT,BELOIT,WI,For-Profit,Medium,120,3,2,Understaffed,2.81,0.63,2.34,37,14.3
LUTHERAN CARE CENTER,ALTAMONT,IL,Non-Profit,Medium,96,5,5,Adequate,3.59,0.73,3.18,32.1,11.1
Valley Health Center,Grand Rapids,MI,Non-Profit,Small,20,5,5,Adequate,5.1,0.99,4.75,21.2,0
HIGHLAND PARK REHABILITATION AND NURSING CENTER,WELLSVILLE,NY,For-Profit,Medium,80,5,2,Understaffed,3.46,0.56,2.67,54.9,42.9
White Sands Healthcare,Hobbs,NM,For-Profit,Medium,118,2,2,Understaffed,3.16,0.52,2.78,49.4,20
ELISEO,TACOMA,WA,Non-Profit,Large,187,4,3,Adequate,4.47,0.64,4.01,38.1,52.2
SOUTH SHORE REHABILITATION AND NURSING CENTER,FREEPORT,NY,For-Profit,Medium,100,2,3,Adequate,4.05,0.92,3.69,32.3,29.6
FIDELITY HEALTH CARE,EL MONTE,CA,For-Profit,Medium,90,5,5,Adequate,4.1,0.41,3.77,20.3,14.3
BELLEVIEW CARE CENTER,SAINT JOSEPH,MO,For-Profit,Medium,90,1,1,Understaffed,3.08,0.61,2.88,61.6,46.2
The Oaks-Brevard,Brevard,NC,For-Profit,Medium,110,2,4,Adequate,3.56,1.09,3.07,26.3,17.6
Heritage Park Nursing Center,Upland,CA,For-Profit,Medium,70,5,4,Adequate,4.01,0.41,3.45,36.4,16.7
"CRESTPARK DEWITT, LLC",DE WITT,AR,For-Profit,Medium,70,1,4,Adequate,5.18,0.5,4.64,28.3,60
EVERGREEN NURSING HOME,EVERGREEN,AL,For-Profit,Medium,61,4,4,Adequate,4.42,0.5,3.45,31.7,14.3
ATLAS HEALTHCARE AT DAUGHTERS OF MIRIAM,CLIFTON,NJ,For-Profit,Large,210,3,3,Understaffed,3.29,0.46,3.03,40.3,31.6
JEANNE JUGAN CENTER,KANSAS CITY,MO,Non-Profit,Medium,52,5,5,Adequate,3.94,0.66,3.53,34.8,33.3
Ambassador Health of Omaha,Omaha,NE,For-Profit,Medium,146,4,4,Adequate,6.75,2.13,6.13,25.6,19.4
Heritage Park Healthcare and Rehabilitation,Roy,UT,For-Profit,Large,176,3,3,Adequate,3.89,0.99,3.38,47.1,28
ARK HEALTHCARE & REHABILITATION AT BRANFORD HILLS,BRANFORD,CT,For-Profit,Large,190,3,3,Adequate,3.58,0.74,3.13,55.8,42.3
"COOK WILLOW HEALTH & REHABILITATION CENTER, INC.",PLYMOUTH,CT,For-Profit,Medium,60,5,4,Adequate,4.15,0.95,3.47,45.6,25
LIFE CARE CENTER OF PUYALLUP,PUYALLUP,WA,For-Profit,Medium,102,4,4,Adequate,4.58,0.9,3.96,34,40.9
STONEGATE NURSING AND REHABILITATION,FORT WORTH,TX,For-Profit,Medium,134,3,3,Adequate,3.81,0.57,3.42,66.7,70
ELEVATE CARE NORTH BRANCH,NILES,IL,For-Profit,Large,212,2,2,Adequate,3.48,0.65,3.09,48.5,33.3
ST LUKE LUTHERAN COMMUNITY-PORTAGE LAKES,AKRON,OH,Non-Profit,Medium,56,3,1,Adequate,3.77,0.38,3.48,78.6,50
"MOUNDVILLE HEALTH AND REHABILITATION, LLC",MOUNDVILLE,AL,For-Profit,Medium,68,4,3,Adequate,3.91,0.62,3.44,49.4,57.1
THE AVENUES TRANSITIONAL CARE CENTER,SAN FRANCISCO,CA,For-Profit,Medium,140,3,4,Adequate,3.9,0.88,3.65,44,20
PILOT BUTTE REHABILITATION CENTER,BEND,OR,For-Profit,Medium,74,2,4,Adequate,4.86,1.11,4.01,54.7,57.1
RIVER GROVE HEALTH AND REHABILITATION,LOUDON,TN,For-Profit,Large,180,1,1,Understaffed,3.01,0.34,2.7,46.3,50
MARLEY NECK HEALTH AND REHABILITATION CENTER,GLEN BURNIE,MD,For-Profit,Medium,95,5,3,Understaffed,3.45,0.61,2.95,25.6,16.7
BLAIR RIDGE HEALTH CAMPUS,PERU,IN,For-Profit,Medium,55,4,4,Adequate,4.33,0.87,3.87,32.8,25
Forrest Oakes Healthcare,Albemarle,NC,For-Profit,Medium,60,2,2,Understaffed,3.32,0.38,2.98,53.8,33.3
SUMMIT HEALTH AND REHAB CENTER,LYNCHBURG,VA,For-Profit,Medium,120,3,2,Adequate,3.55,0.58,3.16,49.2,50
AUTUMN LAKE HEALTHCARE AT HOMEWOOD,BALTIMORE,MD,For-Profit,Medium,112,1,1,Adequate,3.56,0.43,3.25,61.1,62.5
HIGHLANDSPRING OF FT THOMAS,Fort Thomas,KY,For-Profit,Medium,140,4,2,Adequate,3.86,0.64,3.25,56.4,43.5
UNIVERSITY PARK SKILLED NURSING AND THERAPY MEMORY,TAHLEQUAH,OK,For-Profit,Medium,139,4,4,Adequate,3.94,0.37,3.41,40.8,50
NC State Veterans Home - Black Mountain,Black Mountain,NC,For-Profit,Medium,100,4,5,Adequate,4.98,1.31,4.33,39.5,31.8
PRESIDENTIAL POST-ACUTE,MARION,OH,For-Profit,Medium,99,4,1,Understaffed,3.13,0.5,2.76,49.3,50
CEDAR HEALTHCARE CENTER,PORTSMOUTH,NH,For-Profit,Medium,102,5,3,Understaffed,3.36,0.58,3.26,40.5,25
WILLOWS OF NEW CASTLE,NEW CASTLE,IN,Government,Medium,95,3,2,Adequate,4.26,0.42,3.42,59.6,66.7
FAIRVIEW COMMONS NURSING & REHABILITATION CENTER,GREAT BARRINGTON,MA,Non-Profit,Medium,146,2,2,Adequate,3.68,0.33,3.07,54.1,62.5
APPLINGWOOD POST ACUTE,CORDOVA,TN,For-Profit,Medium,78,2,2,Understaffed,3.47,0.71,2.92,52.8,25
CAMPBELL HALL REHABILITATION CENTER INC,CAMPBELL HALL,NY,For-Profit,Medium,134,1,2,Understaffed,3.37,0.42,2.92,45,54.5
LIFE CARE CENTER OF ELYRIA,ELYRIA,OH,For-Profit,Medium,99,5,3,Adequate,3.75,0.66,3.27,29.9,9.1
SHADY LAWN HEALTH AND REHABILITATION,VICKSBURG,MS,For-Profit,Medium,100,5,5,Adequate,4.09,0.76,3.55,31.3,14.3
Crestwood Care Center,SHELBY,OH,For-Profit,Medium,130,1,2,Understaffed,3.24,0.44,2.98,51,76.9
SKILLED NURSING UNIT AT ORO VALLEY HOSPITAL,ORO VALLEY,AZ,For-Profit,Small,33,5,4,Adequate,5.64,1.24,5.17,94.7,83.3
PLEASANTVIEW CARE CENTER,PARMA,OH,For-Profit,Large,162,4,2,Adequate,4.36,0.57,3.87,63.4,42.1
HERITAGE MANOR OF VILLE PLATTE,VILLE PLATTE,LA,For-Profit,Medium,124,2,3,Adequate,4.05,0.35,3.26,37.8,20
DUMONT CENTER FOR REHABILITATION AND NURSING CARE,NEW ROCHELLE,NY,For-Profit,Large,196,5,3,Adequate,4.02,1.09,3.66,20.8,26
WAYCROSS HEALTH AND REHABILITATION,WAYCROSS,GA,Non-Profit,Medium,92,4,4,Adequate,3.67,0.86,3.3,50,36.4
SPRINGFIELD SUITES REHAB AND NURSING,SPRINGFIELD,IL,For-Profit,Medium,75,3,3,Adequate,5.46,0.87,4.36,63.7,52.9
SPRINGFIELD SKILLED CARE CENTER,SPRINGFIELD,MO,For-Profit,Medium,120,1,1,Understaffed,3.4,0.31,2.87,66.2,85.7
LIFE CARE CENTER OF JACKSONVILLE,JACKSONVILLE,FL,For-Profit,Medium,120,5,4,Adequate,3.79,0.64,3.44,38.8,25
BRICKYARD HEALTHCARE - CHURCHMAN CARE CENTER,INDIANAPOLIS,IN,For-Profit,Medium,115,4,2,Understaffed,3.47,0.6,2.71,66.3,40
CAVALIER HEALTHCARE OF ENGLAND,ENGLAND,AR,For-Profit,Medium,70,2,4,Adequate,3.59,0.45,3.23,48.3,63.6
COMMUNITY MEDICAL CENTER TCU,TOMS RIVER,NJ,Non-Profit,Small,25,5,5,Adequate,6.82,4.14,6.51,16.1,15.8
MANOR COURT OF PRINCETON,PRINCETON,IL,Non-Profit,Medium,125,4,4,Adequate,4.11,0.73,3.79,31.8,21.4
BOURNE MANOR EXTENDED CARE FACILITY,BOURNE,MA,Non-Profit,Medium,142,1,1,Adequate,3.64,0.42,3.06,59.9,65
DONALSON CARE CENTER,FAYETTEVILLE,TN,Non-Profit,Large,168,3,2,Adequate,3.6,0.4,3.21,46.4,50
THE VILLAS AT THE PARK,SAINT LOUIS PARK,MN,For-Profit,Medium,52,2,3,Understaffed,3.23,0.69,2.92,45.2,44.4
San Gabriel Rehabilitation and Care Center,Round Rock,TX,For-Profit,Medium,142,1,1,Understaffed,2.97,0.38,2.71,54.5,54.5
Elizabethtown Healthcare & Rehab Center,Elizabethtown,NC,For-Profit,Medium,94,3,3,Adequate,3.67,0.6,3.31,48.7,33.3
MENLO PARK POST ACUTE,PORTLAND,OR,For-Profit,Medium,83,2,4,Adequate,4.53,0.4,4.01,42.9,54.5
ARBOL HEALTHCARE CENTER OF SANTA ROSA,SANTA ROSA,CA,For-Profit,Small,45,3,4,Adequate,5.63,1.21,4.84,48.3,55.6
LAUREL CENTER,HAMBURG,PA,For-Profit,Medium,130,5,2,Understaffed,3.43,0.59,3.2,34.2,31.6
THE VINEYARDS HEALTHCARE CENTER,LIVERMORE,CA,For-Profit,Medium,83,5,3,Adequate,4.09,0.42,3.71,43.5,50
Spurgeon Manor,Dallas Center,IA,Non-Profit,Medium,55,5,5,Adequate,5.11,0.99,4.7,38.3,46.7
STILWELL NURSING AND REHAB,STILWELL,OK,For-Profit,Medium,120,4,3,Understaffed,3.39,0.24,2.98,46.6,40
AUTUMN LANE HEALTH AND REHABILITATION,GRAY,GA,Non-Profit,Medium,85,4,3,Understaffed,3.42,0.37,2.88,35.1,0
EGRET COVE CENTER,SAINT PETERSBURG,FL,Non-Profit,Medium,120,2,2,Understaffed,3.07,0.48,2.92,55.8,50
LIBERTY HEIGHTS,COLORADO SPRINGS,CO,For-Profit,Small,42,4,5,Adequate,4.47,1.27,4,18.8,0
"BETSY ROSS REHABILITATION CENTER, INC",ROME,NY,For-Profit,Medium,120,1,1,Understaffed,3.41,0.36,3.11,43.9,57.1
ARBORS AT DELAWARE,DELAWARE,OH,For-Profit,Medium,99,2,2,Understaffed,3.06,0.6,2.69,67.3,66.7
PENN HIGHLANDS JEFFERSON MANOR,BROOKVILLE,PA,Non-Profit,Large,160,3,4,Adequate,3.71,0.66,3.47,36.5,40
COMPLETE CARE AT DAWNVIEW LLC,FORT ASHBY,WV,For-Profit,Medium,66,3,2,Adequate,3.7,0.62,3.21,56.8,69.2
HOUSTON TRANSITIONAL CARE,HOUSTON,TX,For-Profit,Medium,70,5,1,Adequate,3.69,0.6,3.83,56.7,85.7
THE HILLS HEALTHCARE CENTER,SUNLAND,CA,For-Profit,Medium,67,4,5,Adequate,4.29,0.75,3.9,17.5,16.7
MAGNOLIA MANOR OF MIDWAY,MIDWAY,GA,Non-Profit,Large,169,1,4,Adequate,3.88,0.67,3.25,31,0
SAINT VINCENT HEALTHCARE,PASADENA,CA,For-Profit,Medium,78,3,4,Adequate,4.06,0.54,3.63,12.3,42.9
PONTOTOC NURSING HOME,PONTOTOC,MS,Non-Profit,Small,44,4,5,Adequate,4.37,0.98,3.56,31.9,11.1
"SPRING MEADOWS NURSING, A VILLA CENTER",HOLLAND,OH,For-Profit,Medium,99,2,2,Adequate,3.64,0.52,3.21,45.8,12.5
RIVER PLACE NURSING CENTER,AMORY,MS,For-Profit,Medium,60,5,5,Adequate,3.68,0.84,2.89,27.9,30
"ROLLING FIELDS, INC",CONNEAUTVILLE,PA,Non-Profit,Large,181,5,5,Adequate,4.22,0.87,3.86,34.4,36.4
HERITAGE HEALTHCARE,WEST LAFAYETTE,IN,Government,Medium,127,3,4,Understaffed,3.39,1.12,3.01,52.1,29.4
LAKEFRONT NURSING & REHAB CTR,CHICAGO,IL,For-Profit,Medium,99,5,2,Understaffed,2.36,0.73,2.22,9.4,13.3
ELIZABETH ADAM CRUMP HEALTH AND REHAB,GLEN ALLEN,VA,For-Profit,Large,180,1,2,Adequate,3.65,0.4,3.16,70.5,80
LEISURE HOMESTEAD AT STAFFORD,STAFFORD,KS,Non-Profit,Small,37,3,4,Adequate,3.72,0.53,3.14,30.3,33.3
TEL HAI RETIREMENT COMMUNITY,HONEY BROOK,PA,Non-Profit,Medium,119,5,5,Adequate,5.14,1.39,4.67,27,16.7
CROWLEY COUNTY NURSING CENTER,ORDWAY,CO,Non-Profit,Small,44,4,4,Adequate,3.55,0.69,3.14,44.2,33.3
Randolph County Care Center,SPARTA,IL,Government,Medium,100,1,1,Adequate,3.98,0.22,3.52,61.3,100
RIVERCREST LONG TERM CARE,W CONCORD,MA,Non-Profit,Large,151,5,5,Adequate,4.63,1.34,4.04,39.5,20
PROVIDENCE KODIAK ISLAND MED LTC,KODIAK,AK,Non-Profit,Small,22,4,5,Adequate,6.79,1.49,6.1,32.6,66.7
"SPRINGS AT ST ANDREWS VILLAGE, THE",AURORA,CO,For-Profit,Medium,58,5,2,Adequate,3.74,0.76,3.27,59.6,69.2
"Boulevard Temple Care Center, LLC",Detroit,MI,For-Profit,Medium,124,5,5,Adequate,3.79,0.53,3.37,29.9,25
BLOUNTSTOWN HEALTH AND REHABILITATION CENTER,BLOUNTSTOWN,FL,For-Profit,Medium,96,4,4,Adequate,4.25,0.52,3.72,50,16.7
DIERKS HEALTH AND REHAB OF DIERKS,DIERKS,AR,For-Profit,Medium,70,5,4,Adequate,4.1,0.28,3.63,41.9,0
GRENADA LIVING CENTER,GRENADA,MS,For-Profit,Medium,90,3,4,Adequate,3.64,0.4,3.1,29.9,18.2
PORTSMOUTH HEALTH AND REHAB,PORTSMOUTH,VA,For-Profit,Medium,120,1,1,Understaffed,3.08,0.22,2.72,80.4,100
PIN OAKS LIVING CENTER,MEXICO,MO,For-Profit,Medium,124,3,4,Adequate,3.72,0.62,3.15,38.8,18.2
ADVANCE HEALTH CARE OF SCOTTSDALE,SCOTTSDALE,AZ,For-Profit,Small,38,5,4,Adequate,5.11,1.06,4.22,50.9,46.7
CADIA REHABILITATION PIKE CREEK,WILMINGTON,DE,For-Profit,Large,177,2,1,Adequate,4.55,0.61,3.97,49.2,56.7
Greenfield Rehabilitation & Health Care Center,Greenfield,IA,For-Profit,Small,46,3,2,Understaffed,3.08,0.62,2.55,46.4,80
CEDAR GROVE RESPIRATORY AND NURSING CENTER,WILLIAMSTOWN,NJ,For-Profit,Large,180,4,1,Adequate,4.04,0.57,3.71,50,29.4
ST BENEDICTS CARE CENTER,SAINT CLOUD,MN,Non-Profit,Medium,75,4,4,Adequate,4.57,1.15,4.1,67,50
BEACON HILL,LOMBARD,IL,Non-Profit,Small,45,3,4,Adequate,4.67,1.94,3.82,43.3,37.5
Deptford Center for Rehabilitation and Healthcare,DEPTFORD,NJ,For-Profit,Large,240,3,2,Understaffed,3.4,0.27,3.16,68.2,47.1
Windsor Care Center,Mount Sterling,KY,For-Profit,Medium,144,1,2,Adequate,3.66,0.31,3.37,52.4,70
MEADOW WIND HEALTH CARE CENTER,MASSILLON,OH,For-Profit,Medium,99,4,2,Adequate,3.97,0.57,3.37,53.3,45.5
PURE HEALTH TRANSITIONAL CARE AT TEXAS HEALTH PRES,DALLAS,TX,For-Profit,Small,49,5,4,Adequate,4.06,1,3.54,51.9,35.7
MOUNT ST MARY,WICHITA,KS,Non-Profit,Small,24,5,5,Adequate,5.47,0.98,4.98,34.5,40
OHIO VETERANS HOME,SANDUSKY,OH,Government,Large,427,4,5,Adequate,4.65,0.73,3.98,36,13.9
Cherry Hill Manor,Johnston,RI,For-Profit,Large,171,5,4,Adequate,3.98,0.63,3.46,36.8,32
George E. Wahlen Ogden Veterans Home,Ogden,UT,Government,Medium,120,2,5,Adequate,5.01,1.51,4.4,29.8,15
ARVADA CARE AND REHABILITATION CENTER,ARVADA,CO,For-Profit,Medium,54,5,2,Adequate,3.55,0.73,2.94,56.6,76.9
HOPE CREEK NURSING & REHAB,EAST MOLINE,IL,For-Profit,Large,245,1,2,Understaffed,3.26,0.47,2.86,45.5,26.7
St Therese Of Woodbury Llc,WOODBURY,MN,Non-Profit,Medium,56,4,5,Adequate,4.58,1.8,4.07,33.3,45.5
DIVERSICARE OF ARAB,ARAB,AL,For-Profit,Medium,87,3,4,Understaffed,3.29,0.65,2.77,32.8,28.6
THE WOODLANDS HEALTH AND REHAB CENTER,CLIFTON FORGE,VA,For-Profit,Medium,60,5,3,Understaffed,3.18,0.69,2.76,33.3,33.3
VCU HEALTH CHILDREN'S SERVICES AT BROOK ROAD,RICHMOND,VA,Non-Profit,Small,47,5,4,Adequate,8.77,4.4,7.94,41.4,59.3
BRANDON WOODS OF NEW BEDFORD,NEW BEDFORD,MA,For-Profit,Medium,135,1,3,Adequate,4.22,0.54,3.7,47.3,56.3
THE LAURELS OF WILLOW CREEK,MIDLOTHIAN,VA,For-Profit,Medium,120,2,2,Understaffed,3.22,0.41,2.88,48.6,53.8
SHERWOOD OAKS,CRANBERRY TOWNSHIP,PA,Non-Profit,Small,43,4,5,Adequate,6.45,2.39,5.17,47.4,47.8
WINDSOR MEDICAL CENTER INC,NORTH CANTON,OH,For-Profit,Small,20,4,5,Adequate,6.19,1.13,5.35,50,42.9
GOOD SAMARITAN SOCIETY - ALBERT LEA,ALBERT LEA,MN,Non-Profit,Medium,80,3,5,Adequate,4.54,1.54,4,28.8,13
PETERSON PARK HEALTH CARE CTR,CHICAGO,IL,For-Profit,Large,196,3,3,Adequate,3.5,0.68,3.37,40.1,16.7
PHOEBE BERKS,WERNERSVILLE,PA,Non-Profit,Medium,119,4,3,Adequate,3.93,0.76,3.6,51.9,50
West Janisch Health Care Center,Houston,TX,Non-Profit,Medium,116,1,2,Adequate,3.72,0.54,3.38,68,77.8
The NM Behavioral Health Institute at Las Vegas,Las Vegas,NM,Government,Large,176,2,4,Understaffed,3.35,0.77,3.1,34.4,37.5
HILLTOP LODGE HEALTH AND REHABILITATION CENTER,BELOIT,KS,For-Profit,Medium,90,1,3,Adequate,3.78,0.71,3.25,55.2,45.5
PUTNAM RIDGE,BREWSTER,NY,For-Profit,Large,160,1,2,Adequate,3.52,0.59,3.04,47.6,20
Cura of Sauk Centre,SAUK CENTRE,MN,Non-Profit,Medium,60,3,4,Adequate,4.18,0.87,3.49,54.1,45.5
GOOD SAMARITAN SOCIETY SCOTLAND,SCOTLAND,SD,Non-Profit,Small,45,5,3,Understaffed,3,0.71,2.49,60,50
CAMELOT CARE CENTER,LOGANSPORT,IN,Government,Medium,91,4,1,Adequate,4.15,0.44,3.49,35.5,40
SWEET MEMORIAL NURSING HOME,CHINOOK,MT,Non-Profit,Small,42,2,4,Adequate,3.88,0.84,3.38,50,60
LA DORA NURSING AND REHABILITATION CENTER,BEDFORD,TX,For-Profit,Medium,62,5,3,Understaffed,3.04,0.48,2.69,54.7,12.5
CRYSTAL OAKS,FESTUS,MO,For-Profit,Medium,131,3,2,Adequate,4.28,0.43,3.73,55.5,60
ALDERWOOD MANOR,SPOKANE,WA,For-Profit,Medium,85,3,2,Adequate,3.93,1.06,3.12,53.7,53.3
ELEVATE CARE ABINGTON,GLENVIEW,IL,For-Profit,Large,192,5,3,Adequate,3.76,0.94,3.25,30.8,11.5
ALLEGANY HEALTH NURSING AND REHAB,CUMBERLAND,MD,For-Profit,Large,153,4,3,Understaffed,3.29,0.69,2.96,28.1,35
"WATERS OF SCOTTSBURG, THE",SCOTTSBURG,IN,For-Profit,Medium,99,1,1,Understaffed,3.43,0.49,3.19,44.4,57.1
RANDOLPH HEALTH SERVICES,RANDOLPH,WI,For-Profit,Medium,84,2,3,Adequate,3.59,1.06,3.16,42,50
WOODLANDS HEALTH AND REHAB CENTER,RAVENNA,OH,For-Profit,Medium,95,3,2,Understaffed,3.43,0.57,3.06,58.2,64.3
LINDENGROVE MUKWONAGO,MUKWONAGO,WI,Non-Profit,Small,47,4,5,Adequate,4.12,1.15,3.86,45.6,20
GATEWAY TRANSITIONAL CARE CENTER,POCATELLO,ID,For-Profit,Medium,88,3,3,Adequate,3.75,0.71,3.21,53.1,25
COMMUNITY HOSPITAL ONAGA LTCU,ST MARYS,KS,Non-Profit,Small,26,5,5,Adequate,6.12,1.03,4.88,35.7,33.3
"GLEN HAVEN HEALTH AND REHABILITATION, LLC",NORTHPORT,AL,For-Profit,Large,200,1,4,Adequate,4.08,0.52,3.37,47,51.7
Maple Grove Health and Rehabilitation Center,Greensboro,NC,For-Profit,Large,210,5,3,Adequate,3.56,0.72,3.1,63.7,61.5
Goldsboro Rehabilitation and Healthcare Center,Goldsboro,NC,For-Profit,Medium,130,3,3,Understaffed,3.29,0.56,3.01,36.8,16.7
SIGNATURE HEALTHCARE OF GREENEVILLE,GREENEVILLE,TN,For-Profit,Large,154,5,3,Adequate,3.57,0.56,3.09,34,23.1
REDMOND CARE AND REHABILITATION CENTER,REDMOND,WA,For-Profit,Medium,139,5,4,Adequate,3.57,0.88,3.17,27.6,25
ASHFORD PLACE HEALTH CAMPUS,SHELBYVILLE,IN,For-Profit,Medium,68,3,3,Adequate,3.78,0.54,3.47,25,22.2
ENCORE AT WILMINGTON,WILMINGTON,DE,For-Profit,Medium,82,2,4,Adequate,3.95,0.9,3.68,50,43.8
LORD CHAMBERLAIN NURSING & REHABILITATION CENTER,STRATFORD,CT,For-Profit,Large,190,2,4,Adequate,3.76,0.36,3.41,20.5,29.4
